time,ust,three_pool,ust_p,three_pool_p,ideal,total
2021-10-21T00:00:00+00:00,8113000.0,7934549.124155028,0.5055600663523243,0.4944399336476757,0.5,16047549.124155028
2021-10-24T00:00:00+00:00,7481870.525857,8555129.593019353,0.4665380351934065,0.5334619648065935,0.5,16037000.118876353
2021-10-26T00:00:00+00:00,7082338.797588,8948377.073024498,0.44179803664110473,0.5582019633588953,0.5,16030715.870612498
2021-10-31T00:00:00+00:00,7132338.797588,8899224.754422056,0.4448935236072928,0.5551064763927073,0.5,16031563.552010056
2021-11-03T00:00:00+00:00,7137393.797588,8894255.888446165,0.44520644708234114,0.5547935529176589,0.5,16031649.686034165
2021-11-05T00:00:00+00:00,6780534.508482,8449543.851556614,0.4452068038121905,0.5547931961878094,0.5,15230078.360038616
2021-11-07T00:00:00+00:00,6788174.204326,8442034.747897873,0.4457046010084327,0.5542953989915673,0.5,15230208.952223873
2021-11-09T00:00:00+00:00,6953174.204326,8279896.549444262,0.4564525640770791,0.5435474359229209,0.5,15233070.753770262
2021-11-10T00:00:00+00:00,6041948.255717,9177000.96045646,0.39700167008219656,0.6029983299178034,0.5,15218949.21617346
2021-11-13T00:00:00+00:00,5458518.997086,9752785.261613995,0.3588462175400929,0.6411537824599071,0.5,15211304.258699996
2021-11-14T00:00:00+00:00,5477330.534639,9734214.919418009,0.36007718947308953,0.6399228105269105,0.5,15211545.45405701
2021-11-15T00:00:00+00:00,5534083.924639,10080791.074701535,0.35441102953899545,0.6455889704610045,0.5,15614874.999340534
2021-11-16T00:00:00+00:00,6380328.924639,9246465.88523046,0.4082941513130611,0.5917058486869389,0.5,15626794.80986946
2021-11-19T00:00:00+00:00,7079819.924639,8558553.428893339,0.45272099371126956,0.5472790062887304,0.5,15638373.35353234
2021-11-20T00:00:00+00:00,7016399.559457,8620917.864986831,0.44869585805613654,0.5513041419438635,0.5,15637317.42444383
2021-11-22T00:00:00+00:00,8415537.414056,7249016.951768861,0.5372343966845339,0.4627656033154662,0.5,15664554.365824861
2021-11-24T00:00:00+00:00,6718029.005291,8914286.823964508,0.4297526405344477,0.5702473594655523,0.5,15632315.829255508
2021-11-25T00:00:00+00:00,7790467.6448,7861133.153423968,0.4977425469274687,0.5022574530725313,0.5,15651600.798223969
2021-11-27T00:00:00+00:00,8170982.6448,7488160.132603462,0.5218026785342895,0.4781973214657105,0.5,15659142.777403463
2021-11-30T00:00:00+00:00,4791705.95533,10817873.735221712,0.3069721318781159,0.6930278681218841,0.5,15609579.690551713
2021-12-01T00:00:00+00:00,7188538.393484,8454759.268011522,0.4595283263820964,0.5404716736179036,0.5,15643297.661495522
2021-12-02T00:00:00+00:00,20014742.971733,26222242.293872707,0.43287300970769305,0.567126990292307,0.5,46236985.26560571
2021-12-03T00:00:00+00:00,29977093.87974,32971840.572663896,0.4762128881213371,0.5237871118786629,0.5,62948934.452403896
2021-12-04T00:00:00+00:00,30368136.948475,32117658.896406747,0.4860006428318937,0.5139993571681063,0.5,62485795.84488174
2021-12-05T00:00:00+00:00,37777595.913184,43829082.72369108,0.4629228458283766,0.5370771541716234,0.5,81606678.6368751
2021-12-06T00:00:00+00:00,48081022.834132,52938350.27520538,0.4759584360327791,0.5240415639672209,0.5,101019373.10933739
2021-12-07T00:00:00+00:00,50393352.885046,53319350.950646944,0.48589373356692894,0.514106266433071,0.5,103712703.83569294
2021-12-08T00:00:00+00:00,52585385.655395,54066475.744539626,0.49305642644346037,0.5069435735565396,0.5,106651861.39993463
2021-12-09T00:00:00+00:00,54292931.710707,58390972.66551275,0.4818162097883849,0.5181837902116151,0.5,112683904.37621975
2021-12-10T00:00:00+00:00,54292931.702483,56517490.559173144,0.4899623211820396,0.5100376788179604,0.5,110810422.26165615
2021-12-11T00:00:00+00:00,101983485.582976,97120741.35133176,0.5122115544871095,0.48778844551289047,0.5,199104226.93430775
2021-12-12T00:00:00+00:00,94615495.824597,90133334.76356946,0.5121304179484063,0.4878695820515937,0.5,184748830.58816648
2021-12-13T00:00:00+00:00,87464591.116493,85523947.87150028,0.5056091671053635,0.4943908328946364,0.5,172988538.9879933
2021-12-14T00:00:00+00:00,88948892.699087,90248465.33940169,0.4963739068071652,0.5036260931928348,0.5,179197358.0384887
2021-12-15T00:00:00+00:00,117317447.14113,114696675.49583356,0.505647870947488,0.494352129052512,0.5,232014122.63696358
2021-12-16T00:00:00+00:00,117533466.298314,117046219.85508198,0.5010385520827098,0.49896144791729025,0.5,234579686.15339598
2021-12-17T00:00:00+00:00,118083671.852353,122133825.3387036,0.49156981998873855,0.5084301800112615,0.5,240217497.1910566
2021-12-18T00:00:00+00:00,167190679.188827,177238102.02934918,0.48541436809521776,0.5145856319047822,0.5,344428781.2181762
2021-12-19T00:00:00+00:00,167438380.585432,190328494.44772637,0.4680097355852566,0.5319902644147434,0.5,357766875.03315836
2021-12-20T00:00:00+00:00,167704086.940469,190302958.55172908,0.46843795129759175,0.5315620487024083,0.5,358007045.4921981
2021-12-21T00:00:00+00:00,162294145.684393,220221565.37966704,0.42428099288505705,0.575719007114943,0.5,382515711.06406003
2021-12-22T00:00:00+00:00,177565946.673472,215000581.25760642,0.452320648959268,0.547679351040732,0.5,392566527.93107843
2021-12-23T00:00:00+00:00,192988080.162838,225729903.29199824,0.46090229650634074,0.5390977034936593,0.5,418717983.45483625
2021-12-24T00:00:00+00:00,199450786.967223,219208262.2940981,0.4764038597019042,0.5235961402980959,0.5,418659049.2613211
2021-12-25T00:00:00+00:00,201621951.394737,220396255.68908024,0.47775652332149915,0.5222434766785008,0.5,422018207.08381724
2021-12-26T00:00:00+00:00,201636472.813077,220931963.86922848,0.47716879754715547,0.5228312024528445,0.5,422568436.68230546
2021-12-27T00:00:00+00:00,201910354.405491,217989145.3677817,0.4808540008133226,0.5191459991866775,0.5,419899499.7732727
2021-12-28T00:00:00+00:00,200834384.990442,223379907.0855547,0.4734267297021269,0.5265732702978732,0.5,424214292.0759967
2021-12-29T00:00:00+00:00,201990935.100707,229563713.24937806,0.46805412911888794,0.531945870881112,0.5,431554648.3500851
2021-12-30T00:00:00+00:00,202048826.550701,228784434.60311106,0.46897220982798593,0.5310277901720141,0.5,430833261.15381205
2021-12-31T00:00:00+00:00,214619659.848377,208970034.14407662,0.5066687478288849,0.4933312521711151,0.5,423589693.99245363
2022-01-01T00:00:00+00:00,212315402.857606,217462058.2682146,0.49401241819763336,0.5059875818023667,0.5,429777461.12582064
2022-01-02T00:00:00+00:00,212217925.083788,217837428.20965248,0.49346653508341504,0.506533464916585,0.5,430055353.2934405
2022-01-03T00:00:00+00:00,211585863.573919,218227481.2350952,0.4922738349781492,0.5077261650218508,0.5,429813344.8090142
2022-01-04T00:00:00+00:00,230297473.647252,222702047.04006562,0.5083834819468044,0.49161651805319556,0.5,452999520.6873176
2022-01-05T00:00:00+00:00,224330529.458112,224410783.41962427,0.4999105788132169,0.5000894211867831,0.5,448741312.8777363
2022-01-06T00:00:00+00:00,213732583.071104,219594576.49514157,0.49323606506697465,0.5067639349330254,0.5,433327159.56624556
2022-01-07T00:00:00+00:00,202288006.235699,200431106.82127112,0.5023054523043772,0.49769454769562277,0.5,402719113.0569701
2022-01-08T00:00:00+00:00,200551033.925171,197123317.37810618,0.5043097028207016,0.4956902971792984,0.5,397674351.3032772
2022-01-09T00:00:00+00:00,197574861.668818,200324608.4496904,0.4965446714718501,0.5034553285281499,0.5,397899470.1185084
2022-01-10T00:00:00+00:00,197574861.668818,198135787.20859602,0.4992912428040927,0.5007087571959072,0.5,395710648.87741405
2022-01-11T00:00:00+00:00,199254082.433914,196477945.57583395,0.5035075968857537,0.4964924031142462,0.5,395732028.009748
