time,ust,mim,ideal
2021-10-02T00:00:00+00:00,99938.67,99938.67,0.5
2021-10-17T00:00:00+00:00,129951.08,99938.67,0.5
2021-10-18T00:00:00+00:00,300006.18,331655.5,0.5
2021-10-19T00:00:00+00:00,300006.18,301659.82980670093,0.5
2021-10-20T00:00:00+00:00,1214862.93,2336803.449806701,0.5
2021-10-21T00:00:00+00:00,23721937.229936585,38378133.370373465,0.5
2021-10-22T00:00:00+00:00,26801736.639187522,39129040.93799034,0.5
2021-10-23T00:00:00+00:00,28121619.17183016,41006861.68376013,0.5
2021-10-24T00:00:00+00:00,31820566.415983625,59662425.90221513,0.5
2021-10-25T00:00:00+00:00,38283319.12792606,67983824.15878212,0.5
2021-10-26T00:00:00+00:00,48073558.844982274,81622281.04871804,0.5
2021-10-27T00:00:00+00:00,52727205.72165346,87673805.70144334,0.5
2021-10-28T00:00:00+00:00,59038583.97990166,86763545.16499859,0.5
2021-10-29T00:00:00+00:00,59365320.54015051,89052606.50548258,0.5
2021-10-30T00:00:00+00:00,67162226.26156542,102008379.31772889,0.5
2021-10-31T00:00:00+00:00,68138965.611136,104781416.41420329,0.5
2021-11-01T00:00:00+00:00,68260410.55603707,106089310.5390868,0.5
2021-11-02T00:00:00+00:00,67566914.63177505,107469191.51085292,0.5
2021-11-03T00:00:00+00:00,69985044.621706,100451300.06332026,0.5
2021-11-04T00:00:00+00:00,83592479.83275495,143258238.96986818,0.5
2021-11-05T00:00:00+00:00,89297005.46682906,154405210.5928501,0.5
2021-11-06T00:00:00+00:00,95853909.18011352,167132333.57369623,0.5
2021-11-07T00:00:00+00:00,102377356.37475127,199536293.7690274,0.5
2021-11-08T00:00:00+00:00,98782295.1238222,230957041.98678276,0.5
2021-11-09T00:00:00+00:00,106300234.83638982,249355828.75298473,0.5
2021-11-10T00:00:00+00:00,113818210.9862611,260067798.251751,0.5
2021-11-11T00:00:00+00:00,122593361.02568595,275322206.0110021,0.5
2021-11-12T00:00:00+00:00,127756007.535363,297933035.0474817,0.5
2021-11-13T00:00:00+00:00,118910891.4478727,340910666.9918288,0.5
2021-11-14T00:00:00+00:00,126782209.6490189,382008780.4196931,0.5
2021-11-15T00:00:00+00:00,153372687.69898784,365214919.35322225,0.5
2021-11-16T00:00:00+00:00,157298954.69503912,352289368.11763066,0.5
2021-11-17T00:00:00+00:00,204041764.36178264,342432945.1169061,0.5
2021-11-18T00:00:00+00:00,211729114.76207605,312851280.29912573,0.5
2021-11-19T00:00:00+00:00,263572294.01904657,318354989.4319002,0.5
2021-11-20T00:00:00+00:00,260486836.0813277,331549927.9906919,0.5
2021-11-21T00:00:00+00:00,260686698.7108366,330227859.646932,0.5
2021-11-22T00:00:00+00:00,285246817.03670245,295048091.33984566,0.5
2021-11-23T00:00:00+00:00,288876261.3212856,305601762.6020994,0.5
2021-11-24T00:00:00+00:00,199585769.14102057,395847452.990145,0.5
2021-11-25T00:00:00+00:00,297554652.87838286,353443314.69957954,0.5
2021-11-26T00:00:00+00:00,320890890.5028955,325385057.6284061,0.5
2021-11-27T00:00:00+00:00,314865166.2347932,316712968.3938749,0.5
2021-11-28T00:00:00+00:00,309536688.96146804,317369615.6882332,0.5
2021-11-29T00:00:00+00:00,309906827.21826494,320042320.203342,0.5
2021-11-30T00:00:00+00:00,132260396.30965042,480442600.72126275,0.5
2021-12-01T00:00:00+00:00,292925172.59595704,339085050.64087427,0.5
2021-12-02T00:00:00+00:00,292428453.11648685,336525078.70747674,0.5
2021-12-03T00:00:00+00:00,337911735.98130864,285692767.0337667,0.5
2021-12-04T00:00:00+00:00,327772271.1203289,281052212.0225337,0.5
2021-12-05T00:00:00+00:00,231216656.00187787,373881094.5213263,0.5
2021-12-06T00:00:00+00:00,311893770.9039839,319192743.53284943,0.5
2021-12-07T00:00:00+00:00,331899715.6579635,310048483.07863396,0.5
2021-12-08T00:00:00+00:00,372775840.4413975,329300963.28343153,0.5
2021-12-09T00:00:00+00:00,353770108.4072338,352182857.78277093,0.5
2021-12-10T00:00:00+00:00,499281915.3484142,499276344.2378782,0.5
2021-12-11T00:00:00+00:00,494716671.3600375,487225120.7788216,0.5
2021-12-12T00:00:00+00:00,505310103.8997525,492058398.5687303,0.5
2021-12-13T00:00:00+00:00,504525319.3303,487097508.9740878,0.5
2021-12-14T00:00:00+00:00,495154452.9569083,495843051.35545975,0.5
2021-12-15T00:00:00+00:00,498460949.50742024,496936652.79010427,0.5
2021-12-16T00:00:00+00:00,508458594.93997836,508461304.2978626,0.5
2021-12-17T00:00:00+00:00,508373737.9970164,509406850.1734947,0.5
2021-12-18T00:00:00+00:00,501302616.76940686,532580321.82793134,0.5
2021-12-19T00:00:00+00:00,456307294.8969432,588308994.25182,0.5
2021-12-20T00:00:00+00:00,525413499.5159348,525411521.13156086,0.5
2021-12-21T00:00:00+00:00,283736491.30571383,766869157.7273161,0.5
2021-12-22T00:00:00+00:00,389324075.714665,651247033.5482891,0.5
2021-12-23T00:00:00+00:00,437814038.42990917,513411487.03133464,0.5
2021-12-24T00:00:00+00:00,447299760.48992026,451914507.7967044,0.5
2021-12-25T00:00:00+00:00,451243839.4499084,451129063.3458334,0.5
2021-12-26T00:00:00+00:00,452265583.62763315,453085234.2292346,0.5
2021-12-27T00:00:00+00:00,452395086.7638538,452435373.5471748,0.5
2021-12-28T00:00:00+00:00,451609500.34860325,453365901.34950596,0.5
2021-12-29T00:00:00+00:00,453337497.06149036,454493470.09534407,0.5
2021-12-30T00:00:00+00:00,453534490.7722275,453889552.69582933,0.5
2021-12-31T00:00:00+00:00,476576871.58930016,471868763.70768994,0.5
2022-01-01T00:00:00+00:00,497437744.11335975,473160913.22497606,0.5
2022-01-02T00:00:00+00:00,484372844.4474006,486549315.40785766,0.5
2022-01-03T00:00:00+00:00,463907272.1615127,469021590.8941858,0.5
2022-01-04T00:00:00+00:00,518215491.3210261,515522269.5447175,0.5
2022-01-05T00:00:00+00:00,515792855.1511457,520876979.1062582,0.5
2022-01-06T00:00:00+00:00,527160870.2503903,525926472.9917325,0.5
2022-01-07T00:00:00+00:00,511862738.0916274,512487568.3830078,0.5
