,time,UST,USDC,USDT,FRAX,UST%,USDC%,USDT%,FRAX%,Ideal Balance,total
173,2022-05-11T21:00:00+00:00,1084814.412672,68023.460794,64676.988676,64549.76921287958,0.8461464314209912,0.053057746957821575,0.05044752588459575,0.05034829573659146,0.25,1282064.6313548796
174,2022-05-11T20:00:00+00:00,1106119.588656,62807.658685,61121.119523,57869.59000227674,0.8588432071770914,0.04876681651199406,0.047457308283609986,0.044932668027304536,0.25,1287917.9568662767
175,2022-05-11T19:00:00+00:00,1112386.519342,61066.188811,58542.42824,57869.59000227674,0.8624055659315015,0.04734309541253892,0.0453864866927602,0.04486485196319936,0.25,1289864.7263952768
176,2022-05-11T18:00:00+00:00,1109698.193032,62938.759563,57830.058989,58464.930452666,0.860943977599426,0.048830165123807286,0.044866650521222726,0.04535920675554401,0.25,1288931.942036666
177,2022-05-11T17:00:00+00:00,1112881.000041,61409.095143,57197.468594,58464.930452666,0.8627302207006683,0.04760570285933257,0.044340755841642716,0.045323320598356434,0.25,1289952.494230666
178,2022-05-11T16:00:00+00:00,1120388.450871,59754.047696,56803.239451,55533.3820294255,0.8668522636016659,0.04623211839105565,0.04394905772165642,0.04296656028562209,0.25,1292479.1200474254
179,2022-05-11T15:00:00+00:00,1144695.049894,54060.120503,50997.77947,52379.28476852915,0.8790927829341416,0.04151661334006649,0.03916482375100286,0.040225779974789024,0.25,1302132.234635529
180,2022-05-11T14:00:00+00:00,1528327.226954,64226.154941,62969.899927,62374.90813798209,0.8896494774172863,0.03738647337564057,0.03665519894893589,0.03630885025813729,0.25,1717898.1899599822
181,2022-05-11T13:00:00+00:00,2058845.032237,80994.295129,83251.426304,75147.57291905435,0.8958361752206302,0.03524190428466495,0.03622401791008253,0.03269790258462234,0.25,2298238.3265890544
182,2022-05-11T12:00:00+00:00,2163896.697562,68136.435199,69311.289479,63395.29293793215,0.9150676007482625,0.028813503135956403,0.029310324952099325,0.02680857116368177,0.25,2364739.7151779323
183,2022-05-11T11:00:00+00:00,2062344.68291,82172.367825,76527.585422,78795.74348993826,0.896733834731001,0.035729596085105154,0.033275172529037944,0.034261396654855954,0.25,2299840.3796469383
