time,pusd,threecrv,pusd_p,threecrv_p,ideal,total
2022-04-23T00:00:00+00:00,2500000.0,2449176.1372238696,0.5051345780961273,0.4948654219038728,0.5,4949176.13722387
2022-04-25T00:00:00+00:00,2500000.0,2450383.3390006404,0.5050113958456979,0.4949886041543021,0.5,4950383.33900064
2022-04-26T00:00:00+00:00,2499999.997415478,2450445.474356278,0.5050050569531336,0.49499494304686636,0.5,4950445.471771755
2022-04-27T00:00:00+00:00,3282605.4900552775,3321903.789500728,0.4970248887705332,0.5029751112294668,0.5,6604509.279556005
2022-04-28T00:00:00+00:00,3701155.88134837,3548984.521152834,0.5104943733326212,0.48950562666737885,0.5,7250140.402501204
2022-04-29T00:00:00+00:00,4070117.90889837,3626853.7467633593,0.5287947118662543,0.47120528813374574,0.5,7696971.655661729
2022-04-30T00:00:00+00:00,2773009.5251728813,2732013.3463368583,0.5037235248420303,0.4962764751579697,0.5,5505022.87150974
2022-05-01T00:00:00+00:00,2273554.296303897,2707109.9571720636,0.45647612057311515,0.5435238794268848,0.5,4980664.253475961
2022-05-02T00:00:00+00:00,2334210.066303897,2667263.285662854,0.4667044892653493,0.5332955107346508,0.5,5001473.351966751
2022-05-03T00:00:00+00:00,2384432.7808538973,2618017.177163945,0.47665300020286433,0.5233469997971357,0.5,5002449.958017842
2022-05-04T00:00:00+00:00,2429391.958420158,2543525.602597207,0.48852447856045905,0.511475521439541,0.5,4972917.561017364
2022-05-05T00:00:00+00:00,2398851.9629890635,2573478.82030502,0.48244014075826736,0.5175598592417326,0.5,4972330.783294084
2022-05-06T00:00:00+00:00,2398851.9629890635,2544223.834961177,0.4852954033162515,0.5147045966837486,0.5,4943075.797950241
2022-05-07T00:00:00+00:00,2397278.4360907273,2545767.1279709768,0.4849800401436887,0.5150199598563113,0.5,4943045.564061704
2022-05-08T00:00:00+00:00,2489848.412944025,2481486.1916831704,0.5008410438972536,0.4991589561027464,0.5,4971334.604627196
2022-05-09T00:00:00+00:00,2473365.585239275,2448733.318030155,0.5025022117284923,0.49749778827150765,0.5,4922098.90326943
2022-05-10T00:00:00+00:00,2834473.219630391,2095749.2406759898,0.5749179154593862,0.42508208454061375,0.5,4930222.460306381
2022-05-11T00:00:00+00:00,2929349.2549807075,1978284.7337948296,0.5968964396449592,0.40310356035504086,0.5,4907633.988775537
2022-05-12T00:00:00+00:00,2760269.4995234306,2113348.657267727,0.5663696684314763,0.4336303315685237,0.5,4873618.156791157
2022-05-13T00:00:00+00:00,2730375.98784974,2142558.7470829696,0.5603144996538608,0.4396855003461392,0.5,4872934.7349327095
2022-05-14T00:00:00+00:00,2741044.592037695,2132145.0749532855,0.562474432424501,0.43752556757549893,0.5,4873189.6669909805
2022-05-16T00:00:00+00:00,2735935.364326436,2749606.563976848,0.49875388796320436,0.5012461120367957,0.5,5485541.928303285
2022-05-18T00:00:00+00:00,2715488.2800551117,2740446.7928005573,0.4977127190470412,0.5022872809529588,0.5,5455935.072855669
2022-05-20T00:00:00+00:00,2704703.312491474,2731543.7440757295,0.4975313454939625,0.5024686545060375,0.5,5436247.056567203
2022-05-23T00:00:00+00:00,2707887.6440157597,2728538.0607030955,0.4981007358686599,0.5018992641313401,0.5,5436425.704718855
2022-05-24T00:00:00+00:00,2258470.0177714764,2288886.719028515,0.49665556244896203,0.503344437551038,0.5,4547356.736799991
2022-05-25T00:00:00+00:00,2048588.1022246173,2494254.9959234064,0.45094846068088135,0.5490515393191187,0.5,4542843.098148024
2022-05-26T00:00:00+00:00,3644991.307572861,6279439.062294202,0.3672746114114442,0.6327253885885558,0.5,9924430.369867064
2022-05-27T00:00:00+00:00,3394596.9093411034,6596462.614357081,0.3397634556464533,0.6602365443535466,0.5,9991059.523698185
