,time,steth_pool,eth_pool,price_to_eth
0,2021-01-05T00:00:00+00:00,5816.77803039849,5602.500331868219,-0.8546333838646981
1,2021-01-06T00:00:00+00:00,6388.830349296296,5835.94507975866,-1.3166729736705045
2,2021-01-07T00:00:00+00:00,6316.474453024365,6287.591382149544,-0.8574357691690725
3,2021-01-08T00:00:00+00:00,6435.216460113304,6007.300069536919,-0.6893308350790176
4,2021-01-09T00:00:00+00:00,8011.327783125029,8111.001328356746,-0.15879720724350463
5,2021-01-10T00:00:00+00:00,13354.278167129232,13099.79826359679,-0.12766476132020382
6,2021-01-11T00:00:00+00:00,13640.66855650158,13856.025398461667,-0.2716094112330991
7,2021-01-12T00:00:00+00:00,16047.968507574738,15954.981468290855,-0.0931751145058335
8,2021-01-13T00:00:00+00:00,37195.75762390276,37410.182720454475,0.28077274998148616
9,2021-01-14T00:00:00+00:00,53127.135760305726,53441.35974312572,0.46390622328266456
10,2021-01-15T00:00:00+00:00,57817.671366280265,57936.36780198108,0.09905614500207857
11,2021-01-16T00:00:00+00:00,60363.14857375628,57015.610341178224,-0.22850266415311535
12,2021-01-17T00:00:00+00:00,59651.91378181059,53266.920613589115,-2.024840678647388
13,2021-01-18T00:00:00+00:00,55197.26419849193,48450.77982480412,-2.2211428370077386
14,2021-01-19T00:00:00+00:00,59885.49913251921,60220.2998788895,-0.4459904987985232
15,2021-01-20T00:00:00+00:00,62541.57840263959,60985.3134771194,0.26249905216348113
16,2021-01-21T00:00:00+00:00,62824.89026564041,62306.843513149186,-0.06132192763202269
17,2021-01-22T00:00:00+00:00,64051.60206064189,64055.72886660396,-0.3385879107781037
18,2021-01-23T00:00:00+00:00,78261.97042287319,77410.19014484796,0.11061173320600735
19,2021-01-24T00:00:00+00:00,72169.33594098157,67633.5612012063,-1.4844841238246735
20,2021-01-25T00:00:00+00:00,74325.99100346504,72561.4981925818,-0.7842264902900565
21,2021-01-26T00:00:00+00:00,82114.35813328683,81099.18254659894,0.20044439941139353
22,2021-01-27T00:00:00+00:00,84582.37993529209,84822.31482669845,0.05340218979070205
23,2021-01-28T00:00:00+00:00,88348.7625840538,87830.29445995197,0.003866259417774407
24,2021-01-29T00:00:00+00:00,86257.77064576933,86067.40262236817,-0.9338798030634075
25,2021-01-30T00:00:00+00:00,85422.18913428723,79919.11788835964,-0.9618823536556633
26,2021-01-31T00:00:00+00:00,85345.44979893921,83958.04167941603,-1.3024617764403295
27,2021-02-01T00:00:00+00:00,88283.3412579541,88597.07668670802,-0.1383667978250865
28,2021-02-02T00:00:00+00:00,95904.24060827034,96203.54988274365,0.10774024583027426
29,2021-02-03T00:00:00+00:00,104818.95436587142,104107.1581012373,-0.007396557813566554
30,2021-02-04T00:00:00+00:00,105817.93244907452,105758.13360693851,-0.1051543903814925
31,2021-02-05T00:00:00+00:00,107406.184223999,107619.60026737544,0.042728502163886024
32,2021-02-06T00:00:00+00:00,110046.56124073893,109974.26282346998,0.06304093292369894
33,2021-02-07T00:00:00+00:00,114128.5392145032,114805.21191175884,0.24283364949360856
34,2021-02-08T00:00:00+00:00,115762.29568096998,115913.13308466802,0.017968806628695863
35,2021-02-09T00:00:00+00:00,121873.29832871915,122120.3242305772,-0.10877826281653176
36,2021-02-10T00:00:00+00:00,117414.84122847188,112633.16726149236,-1.1356839639771767
37,2021-02-11T00:00:00+00:00,117304.83983852608,113611.98223843472,-0.6811926566430333
38,2021-02-12T00:00:00+00:00,117166.54387323427,115794.56154824933,-0.5225423451044162
39,2021-02-13T00:00:00+00:00,119833.9679806498,119181.21761906767,-0.09029916480296676
40,2021-02-14T00:00:00+00:00,121119.95021414237,120184.73801885244,-0.16190976300932408
41,2021-02-15T00:00:00+00:00,121346.99930631187,120016.71339258504,-0.2468675113574316
42,2021-02-16T00:00:00+00:00,121020.43583549565,119216.65608900395,-0.44994075375136133
43,2021-02-17T00:00:00+00:00,121596.70855360545,118014.21587255198,-0.3112507840109329
44,2021-02-18T00:00:00+00:00,135062.76921283215,133196.6680036038,-0.08027400560338972
45,2021-02-19T00:00:00+00:00,135104.3081327183,131375.16879590385,-0.36190023290341583
46,2021-02-20T00:00:00+00:00,134110.0407292808,127775.7764526129,-0.6373150773456967
47,2021-02-21T00:00:00+00:00,134549.33188175026,126269.93283196556,-0.789308364133518
48,2021-02-22T00:00:00+00:00,134724.6393909345,127890.16403689924,-1.1336633013681865
49,2021-02-23T00:00:00+00:00,131174.33891524177,119133.17488231523,-0.9932054152881761
50,2021-02-24T00:00:00+00:00,129533.98442276931,116083.73878489497,-1.0266214442931447
51,2021-02-25T00:00:00+00:00,129524.02163625928,114438.19447615618,-1.2168193740282012
52,2021-02-26T00:00:00+00:00,125855.69610825916,111548.98862212955,-1.120127121150252
53,2021-02-27T00:00:00+00:00,128693.24524309643,99421.54683433271,-2.2187900843491017
54,2021-02-28T00:00:00+00:00,128790.32998095358,102130.42322095153,-2.150931574794422
55,2021-03-01T00:00:00+00:00,128445.22605664439,102374.58673792667,-2.179019543151451
56,2021-03-02T00:00:00+00:00,128217.75351060752,99375.51788702082,-2.2291180620854587
57,2021-03-03T00:00:00+00:00,129483.96316140126,98046.55610428043,-2.5733039532653077
58,2021-03-04T00:00:00+00:00,128765.42734269646,90611.34070120107,-3.143181568485831
59,2021-03-05T00:00:00+00:00,123834.31894726556,85587.11165318052,-3.537862389331991
60,2021-03-06T00:00:00+00:00,122410.09039908393,84513.09546220045,-3.475897089956104
61,2021-03-07T00:00:00+00:00,122902.9371846834,78948.86617087731,-4.01692399866508
