time,USDN,3CRV,USDN%,3CRV%,Ideal Balance,total
2021-06-08T18:00:00+00:00,213321459.758794,262094960.8214192,0.4487044420940483,0.5512955579059516,0.5,475416420.58021325
2021-06-08T19:00:00+00:00,213321459.758794,263383935.34529674,0.447491179981746,0.552508820018254,0.5,476705395.10409075
2021-06-08T20:00:00+00:00,220829709.577261,255524822.36127022,0.46358267796590813,0.5364173220340919,0.5,476354531.9385312
2021-06-08T21:00:00+00:00,220829709.577261,257145970.88095322,0.4620103461447271,0.537989653855273,0.5,477975680.4582142
2021-06-08T22:00:00+00:00,220828959.000744,257211245.65834177,0.4619464154865972,0.5380535845134028,0.5,478040204.65908575
2021-06-08T23:00:00+00:00,220830849.000744,257478325.47635525,0.46169059843387356,0.5383094015661265,0.5,478309174.47709924
2021-06-09T00:00:00+00:00,220830849.000744,254635946.67445248,0.46445062201903825,0.5355493779809617,0.5,475466795.67519647
2021-06-09T01:00:00+00:00,220833663.7071354,254660635.0181232,0.4644296772835408,0.5355703227164592,0.5,475494298.7252586
2021-06-09T02:00:00+00:00,220887844.1824944,254468561.1251053,0.46467837966664083,0.5353216203333592,0.5,475356405.3075997
2021-06-09T03:00:00+00:00,220887844.1824944,254536480.61086276,0.464611995354893,0.5353880046451069,0.5,475424324.79335713
2021-06-09T04:00:00+00:00,220887921.0218815,254087375.93924695,0.465051387798719,0.534948612201281,0.5,474975296.9611285
2021-06-09T05:00:00+00:00,220887921.0218815,254063625.29813096,0.4650746433680454,0.5349253566319546,0.5,474951546.32001245
2021-06-09T06:00:00+00:00,220937921.0267456,254454030.03867427,0.4647489729929015,0.5352510270070985,0.5,475391951.06541985
2021-06-09T07:00:00+00:00,220937920.66032693,255748399.79647952,0.4634870168890164,0.5365129831109836,0.5,476686320.4568064
2021-06-09T08:00:00+00:00,220937920.66032693,275852084.30777866,0.4447310099858216,0.5552689900141784,0.5,496790004.9681056
2021-06-09T09:00:00+00:00,220937920.66032693,277962959.3540681,0.4428493304200067,0.5571506695799934,0.5,498900880.014395
2021-06-09T10:00:00+00:00,221074049.27389568,278275036.4908937,0.4427244498411461,0.5572755501588539,0.5,499349085.7647894
2021-06-09T11:00:00+00:00,221357078.34937268,281663057.3443202,0.4400560984385027,0.5599439015614973,0.5,503020135.69369286
2021-06-09T12:00:00+00:00,221357078.34937268,275898530.63100857,0.44515752935047564,0.5548424706495244,0.5,497255608.98038125
2021-06-09T13:00:00+00:00,221357078.34937268,276622419.99840516,0.4445104247941987,0.5554895752058013,0.5,497979498.34777784
2021-06-09T14:00:00+00:00,221356229.25229633,277598450.13031477,0.4436399504784577,0.5563600495215423,0.5,498954679.3826111
2021-06-09T15:00:00+00:00,221356229.25229633,276445480.2211423,0.4446674751005597,0.5553325248994403,0.5,497801709.4734386
2021-06-09T16:00:00+00:00,221356229.25229633,276839511.4703393,0.44431578024175383,0.5556842197582462,0.5,498195740.7226356
